,date_mesure,Teau,id_sonde
0,2013-05,11.105177777777776,104
1,2013-05,10.464172222222222,109
2,2013-05,11.453733333333332,771
3,2013-05,11.60928888888889,813
4,2013-05,11.964716666666668,815
5,2013-05,12.258988888888888,816
6,2013-05,12.75065,817
7,2013-05,13.740227777777777,818
8,2013-05,13.311011111111112,819
9,2013-05,13.383238888888888,820
10,2013-05,12.880022222222223,821
11,2013-05,13.420477777777778,823
12,2013-05,12.509750000000002,824
13,2013-05,10.925805555555556,825
14,2013-05,11.759616666666668,827
15,2013-05,11.968738888888891,828
16,2013-05,12.684399999999998,830
17,2013-06,13.46321944444444,104
18,2013-06,12.517866666666668,109
19,2013-06,13.056569444444447,771
20,2013-06,13.666738888888888,813
21,2013-06,14.315049999999998,815
22,2013-06,14.542574999999998,816
23,2013-06,16.35601388888889,817
24,2013-06,17.334933333333336,818
25,2013-06,16.97317222222222,819
26,2013-06,15.708316666666667,820
27,2013-06,14.691880555555553,821
28,2013-06,15.706594444444443,823
29,2013-06,15.292658333333332,824
30,2013-06,13.006172222222222,825
31,2013-06,13.502444444444443,827
32,2013-06,14.06231111111111,828
33,2013-06,14.836605555555558,830
34,2013-07,16.927002688172045,104
35,2013-07,15.529051075268818,109
36,2013-07,16.15236021505376,771
37,2013-07,17.167817204301073,813
38,2013-07,17.495774193548392,815
39,2013-07,17.858559139784944,816
40,2013-07,21.085553763440867,817
41,2013-07,22.143268817204305,818
42,2013-07,21.812599462365593,819
43,2013-07,19.100604838709685,820
44,2013-07,18.318362903225804,821
45,2013-07,19.10746505376344,823
46,2013-07,19.053940860215057,824
47,2013-07,15.84323655913978,825
48,2013-07,15.881333333333334,827
49,2013-07,16.90323387096774,828
50,2013-07,17.595155913978495,830
51,2013-08,15.665572580645163,104
52,2013-08,14.842080645161287,109
53,2013-08,15.261766129032257,771
54,2013-08,16.289639784946235,813
55,2013-08,16.684731182795698,815
56,2013-08,17.15208602150537,816
57,2013-08,19.894478494623655,817
58,2013-08,20.699612903225812,818
59,2013-08,20.304295698924733,819
60,2013-08,19.617201612903234,820
61,2013-08,17.31513172043011,821
62,2013-08,19.510389784946238,823
63,2013-08,17.92904569892473,824
64,2013-08,14.708913978494623,825
65,2013-08,14.742731182795701,827
66,2013-08,15.69306989247312,828
67,2013-08,16.365666666666662,830
68,2013-09,13.724963888888887,104
69,2013-09,13.04048888888889,109
70,2013-09,13.508983333333335,771
71,2013-09,14.510333333333335,813
72,2013-09,14.719750000000001,815
73,2013-09,15.309566666666665,816
74,2013-09,17.03485,817
75,2013-09,17.77359722222222,818
76,2013-09,17.39176111111111,819
77,2013-09,17.709433333333333,820
78,2013-09,15.78496111111111,821
79,2013-09,17.590791666666664,823
80,2013-09,15.531013888888888,824
81,2013-09,13.265600000000001,825
82,2013-09,13.24074722222222,827
83,2013-09,13.824391666666665,828
84,2013-09,14.353738888888886,830
85,2013-10,12.565672043010752,104
86,2013-10,12.621193548387094,109
87,2013-10,12.046080645161293,771
88,2013-10,12.869551075268818,813
89,2013-10,12.93601075268817,815
90,2013-10,13.34240322580645,816
91,2013-10,14.100731182795698,817
92,2013-10,14.460532258064516,818
93,2013-10,14.389392473118278,819
94,2013-10,15.721293010752687,820
95,2013-10,14.42417741935484,821
96,2013-10,15.650451612903225,823
97,2013-10,13.841405913978496,824
98,2013-10,13.426739247311827,825
99,2013-10,12.35903494623656,827
100,2013-10,12.633034946236558,828
101,2013-10,12.818916666666668,830
102,2013-11,8.537969444444444,104
103,2013-11,9.351941666666667,109
104,2013-11,9.950611111111112,771
105,2013-11,10.136133333333333,813
106,2013-11,10.11961111111111,815
107,2013-11,10.106374999999996,816
108,2013-11,9.441858333333332,817
109,2013-11,9.409044444444444,818
110,2013-11,9.995536111111111,819
111,2013-11,10.750044444444445,820
112,2013-11,9.67096388888889,821
113,2013-11,10.748519444444446,823
114,2013-11,9.389013888888888,824
115,2013-11,9.704533333333334,825
116,2013-11,8.957525000000002,827
117,2013-11,8.797683333333335,828
118,2013-11,9.107575,830
119,2013-12,6.163833333333333,104
120,2013-12,6.684061827956989,109
121,2013-12,7.547698924731184,771
122,2013-12,7.618206989247312,813
123,2013-12,7.660685483870968,815
124,2013-12,7.813298387096773,816
125,2013-12,6.462876344086024,817
126,2013-12,6.459508064516128,818
127,2013-12,6.7814865591397835,819
128,2013-12,7.117682795698925,820
129,2013-12,6.456284946236559,821
130,2013-12,7.166346774193547,823
131,2013-12,7.078838709677421,824
132,2013-12,7.184258064516127,825
133,2013-12,7.37229569892473,827
134,2013-12,7.055666666666665,828
135,2013-12,7.449607526881721,830
136,2014-01,7.092451612903226,104
137,2014-01,7.345131720430108,109
138,2014-01,8.400352150537634,771
139,2014-01,7.983182795698926,813
140,2014-01,8.045104838709678,815
141,2014-01,8.208139784946237,816
142,2014-01,7.702040322580643,817
143,2014-01,7.7077446236559135,818
144,2014-01,7.744333333333333,819
145,2014-01,8.200860215053764,820
146,2014-01,8.176145161290323,821
147,2014-01,8.235736559139786,823
148,2014-01,8.459336021505374,824
149,2014-01,7.47088440860215,825
150,2014-01,7.974989247311828,827
151,2014-01,7.871045698924729,828
152,2014-01,8.802306451612903,830
153,2014-02,6.889184523809525,104
154,2014-02,6.989107142857144,109
155,2014-02,8.282696428571429,771
156,2014-02,7.716324404761904,813
157,2014-02,7.952184523809524,815
158,2014-02,8.120497023809522,816
159,2014-02,7.386940476190475,817
160,2014-02,7.424413690476191,818
161,2014-02,7.441104166666667,819
162,2014-02,7.97850595238095,820
163,2014-02,7.994419642857144,821
